ms,degC
2021,27.10
4043,27.10
6067,27.10
8091,27.10
10114,27.60
12136,27.60
14158,28.00
16181,28.00
18205,28.50
20228,28.50
22250,28.90
24272,29.00
26297,29.30
28319,29.80
30342,29.80
2366,30.20
-31146,30.20
-29124,30.80
-27102,30.80
-25079,30.90
-23055,31.30
-21032,31.30
-19010,31.80
-16988,31.80
-14964,31.80
-12942,32.30
-10919,32.30
-8897,32.80
-6873,32.80
-4849,32.80
-2827,32.80
-804,33.30
1218,33.30
3243,33.30
5266,33.30
7289,33.80
9313,33.80
11335,33.80
13358,33.80
15380,34.20
17402,34.20
19426,34.20
21450,34.20
23474,34.20
25496,34.20
27518,34.70
29541,34.70
31565,34.70
-31948,34.70
-29926,34.70
-27901,34.70
-25879,34.70
-23857,35.20
-21834,35.20